id;credit_card_number;credit_card_expiry_month;credit_card_expiry_year;amount;batch_id;response_code;approval_code;response_data;last_edited_by;last_edited_when
1;Arkansas engineer Practical;23339;91638;87962;Incredible Soft Table;monitoring;Steel;../fake-data/blob/hipster.txt;revolutionize;2020-06-10T09:49:30
2;panel azure;49711;64836;76945;Unbranded Generic Officer;transmit customer loyalty;Architect AGP mesh;../fake-data/blob/hipster.txt;lime;2020-06-09T19:32:56
3;matrix Handcrafted;50892;2630;33826;Markets AI incubate;monetize;Brook local area network;../fake-data/blob/hipster.txt;Bedfordshire;2020-06-10T03:14:23
4;niches Savings Account;2605;37162;42449;architectures violet Senior;Metal Automotive virtual;object-oriented;../fake-data/blob/hipster.txt;well-modulated transparent backing up;2020-06-10T12:47:19
5;Practical Specialist;67355;72707;72643;Nebraska;Sleek;Metrics;../fake-data/blob/hipster.txt;backing up;2020-06-10T02:36:23
6;Accountability multi-byte;43595;13916;64734;Ports partnerships benchmark;Persistent Keyboard;Designer;../fake-data/blob/hipster.txt;Small Plastic Shoes Tools Group;2020-06-10T03:48:41
7;optical Sports;66704;8240;74513;Unbranded Steel Ball syndicate;optimize;deposit;../fake-data/blob/hipster.txt;back-end Books;2020-06-09T20:40:03
8;solid state Legacy;54965;52006;2947;matrix;silver circuit;Sausages;../fake-data/blob/hipster.txt;Gold navigate Chair;2020-06-10T01:02:28
9;blue;69155;73744;85095;Investment Account Practical Architect;secondary;Executive;../fake-data/blob/hipster.txt;Director Electronics Granite;2020-06-09T15:32:32
10;bandwidth;21587;85247;36607;Cambridgeshire applications Wooden;azure Salad Street;payment;../fake-data/blob/hipster.txt;bypassing Pennsylvania Creative;2020-06-10T06:44:42
