id;email_address;default_ind;valid_from;valid_to
1;"{,@aYW4.R";true;2020-07-17T13:27:59;2020-07-18T01:59:13
2;"MN{qB`@Vl~o.Zh*";false;2020-07-17T23:42:23;2020-07-17T17:27:22
3;"#HebIa@sK4.57";false;2020-07-17T22:46:06;2020-07-18T01:54:06
4;"~JFA5@qT.Sv";false;2020-07-17T23:52:53;2020-07-17T19:37:37
5;"v9@|JYE.nb";true;2020-07-17T19:39:31;2020-07-17T15:53:59
6;"W~5@b6Ok|.'>Q>fF";false;2020-07-17T08:46:01;2020-07-17T12:25:29
7;"Y75d<@#zX.*-~:";true;2020-07-18T03:57:50;2020-07-17T22:19:44
8;"A:O`M@MJ0Fm+.'T,";false;2020-07-18T03:11:04;2020-07-17T22:36:05
9;"j=y-@Rs8V.^l>j2<";false;2020-07-17T17:18:34;2020-07-17T20:40:03
10;"et)@!%Ve=..Wq";true;2020-07-17T08:51:12;2020-07-17T19:41:34
