id;email_address;subscribed_on;active_flag;valid_from;valid_to
1;"P@Ha.;D";2020-08-01T22:33:34;true;2020-08-01T23:42:39;2020-08-01T20:25:07
2;"D[5x@<b.Vz[i,}";2020-08-02T17:39:16;false;2020-08-02T17:58:37;2020-08-02T10:29:57
3;"%@SI<.-&aE}%";2020-08-01T22:57:48;true;2020-08-01T20:43:28;2020-08-02T17:59:57
4;"O@z.yM";2020-08-02T05:16:06;true;2020-08-02T06:57:43;2020-08-02T15:07:32
5;")3Mc@S.8Sav";2020-08-02T05:01:26;true;2020-08-01T23:19:49;2020-08-02T14:25:26
6;"Ig@$PNH.9=}-(";2020-08-02T07:10:53;false;2020-08-01T20:21:01;2020-08-01T19:07:58
7;">s@m)L,.~ZwS1";2020-08-02T09:17:44;true;2020-08-02T18:37:20;2020-08-02T09:11:43
8;"<@7y).aB4_";2020-08-02T13:37:33;false;2020-08-02T14:16:04;2020-08-01T21:52:22
9;"6?<e@J3'xW.#M";2020-08-01T19:31:43;true;2020-08-02T10:14:42;2020-08-02T00:26:01
10;"p.w@)]4?7.H^R";2020-08-02T17:31:14;false;2020-08-02T14:44:51;2020-08-02T08:07:36
